Model,MAE,RMSE,R2,CV_R2_Mean
Linear Regression,1.519590197097633,2.539934607922783,0.7496914532238977,0.863763415913434
Gradient Boosting,1.2581724844097957,2.6362192710401997,0.7303541947820795,0.8984671419446768
Random Forest,1.380464999999997,3.3163765397832883,0.5732649883901008,0.8963634683172039
