Lockdown_Period,average_unemployment_rate,average_employed,average_labour_participation,observations
Before lockdown,9.231346153846154,15562732.903846154,44.403653846153844,52
Lockdown period,12.963860465116278,13574977.288372094,41.02320930232558,215
