Feature,ANOVA F-score,p-value
petal length (cm),1180.1611822529776,2.85677661096213e-91
petal width (cm),960.0071468018025,4.169445839445089e-85
sepal length (cm),119.26450218449871,1.6696691907731882e-31
sepal width (cm),49.16004008961098,4.492017133312052e-17
