Model,Accuracy,Precision (Macro),Recall (Macro),F1-score (Macro),CV F1 Mean,CV F1 Std
Logistic Regression,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9579707438530969,0.02677171608964413
Decision Tree,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9496047307812013,0.017130407718643027
K-Nearest Neighbors,0.9333333333333333,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.9579707438530969,0.02677171608964413
Random Forest,0.9,0.9023569023569024,0.9,0.899749373433584,0.9494055399937753,0.03172953563462674
